Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote,,
TGD,Timmons Gold Corp,1.7,238494700,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/tgd,,
YMI,"YM BioSciences, Inc.",2,233364000,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ymi,,
BKR,Baker (Michael) Corporation,24.12,231913800,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/bkr,,
THM,International Tower Hill Mines Ltd,2.67,231446280,n/a,1984,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/thm,,
NAK,"Northern Dynasty Minerals, Ltd.",2.41,228899390,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/nak,,
TPLM,Triangle Petroleum Corporation,5.14,227409020,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/tplm,,
LAQ,"Latin America Equity Fund, Inc. (The)",30.5,227194500,n/a,1991,n/a,n/a,http://www.nasdaq.com/symbol/laq,,
EPM,"Evolution Petroleum Corporation, Inc.",8.15,226708550,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/epm,,
DHY,Credit Suisse High Yield Bond Fund,3.01,226436280,n/a,1998,n/a,n/a,http://www.nasdaq.com/symbol/dhy,,
SILU,Sprott Resource Lending Corp.,1.46,225165580,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/silu,,
NVX,Nuveen California Dividend Advantage Municipal Fund 2,15.23,224596810,n/a,2001,n/a,n/a,http://www.nasdaq.com/symbol/nvx,,
IAF,Aberdeen Australia Equity Fund Inc,9.9089,223683508.6,n/a,1985,n/a,n/a,http://www.nasdaq.com/symbol/iaf,,
ENX,Eaton Vance New York Municipal Bond Fund,14.07,223304970,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/enx,,
BTX,"BioTime, Inc.",4.27,214960340,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/btx,,
DMF,"Dreyfus Municipal Income, Inc.",10.33,213045920,n/a,1988,n/a,n/a,http://www.nasdaq.com/symbol/dmf,,
GLQ,Clough Global Equity Fund,11.8,210523800,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/glq,,
VGZ,Vista Gold Corporation,2.95,210060650,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/vgz,,
AGX,"Argan, Inc.",14.91,203640780,n/a,n/a,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/agx,,
PTX,"Pernix Therapeutics Holdings, Inc.",6.99,203185320,n/a,1993,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ptx,,
ETAK,Elephant Talk Communications Inc,1.78,202895080,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/etak,,
